,PassengerId,Survived
0,892,False
1,939,False
2,947,False
3,994,False
4,998,False
5,999,False
6,1013,False
7,1016,False
8,1075,False
9,1125,False
10,1148,False
11,1163,False
12,1250,False
13,1272,False
14,1273,False
15,1280,False
16,1288,False
17,1291,False
18,895,False
19,897,False
20,901,False
21,902,False
22,913,False
23,917,False
24,930,False
25,931,False
26,934,False
27,937,False
28,948,False
29,949,False
30,950,False
31,952,False
32,954,False
33,963,False
34,968,False
35,975,False
36,983,False
37,985,False
38,987,False
39,989,False
40,991,False
41,995,False
42,997,False
43,1000,False
44,1015,False
45,1018,False
46,1021,False
47,1022,False
48,1026,False
49,1027,False
50,1031,False
51,1037,False
52,1039,False
53,1044,False
54,1046,False
55,1047,False
56,1055,False
57,1059,False
58,1062,False
59,1064,False
60,1066,False
61,1079,False
62,1084,False
63,1087,False
64,1093,False
65,1101,False
66,1102,False
67,1103,False
68,1111,False
69,1113,False
70,1115,False
71,1118,False
72,1120,False
73,1124,False
74,1127,False
75,1135,False
76,1136,False
77,1143,False
78,1145,False
79,1146,False
80,1147,False
81,1149,False
82,1151,False
83,1152,False
84,1153,False
85,1157,False
86,1159,False
87,1161,False
88,1173,False
89,1177,False
90,1178,False
91,1181,False
92,1186,False
93,1187,False
94,1191,False
95,1192,False
96,1195,False
97,1199,False
98,1202,False
99,1204,False
100,1210,False
101,1212,False
102,1217,False
103,1226,False
104,1233,False
105,1234,False
106,1236,False
107,1249,False
108,1252,False
109,1255,False
110,1271,False
111,1278,False
112,1281,False
113,1284,False
114,1286,False
115,1290,False
116,1305,False
117,1307,False
118,1308,False
119,909,False
120,919,False
121,921,False
122,927,False
123,932,False
124,972,False
125,977,False
126,1007,False
127,1008,False
128,1025,False
129,1028,False
130,1043,False
131,1053,False
132,1063,False
133,1065,False
134,1129,False
135,1166,False
136,1180,False
137,1184,False
138,1189,False
139,1203,False
140,1213,False
141,1224,False
142,1229,False
143,1231,False
144,1258,False
145,1309,False
146,894,False
147,908,False
148,976,False
149,1085,False
150,899,False
151,905,False
152,922,False
153,923,False
154,953,False
155,970,False
156,981,False
157,993,False
158,1001,False
159,1020,False
160,1029,False
161,1035,False
162,1041,False
163,1056,False
164,1072,False
165,1077,False
166,1081,False
167,1082,False
168,1086,False
169,1090,False
170,1096,False
171,1099,False
172,1104,False
173,1121,False
174,1122,False
175,1139,False
176,1168,False
177,1169,False
178,1170,False
179,1171,False
180,1194,False
181,1209,False
182,1211,False
183,1214,False
184,1220,False
185,1221,False
186,1228,False
187,1230,False
188,1232,False
189,1238,False
190,1240,False
191,1243,False
192,1244,False
193,1245,False
194,1262,False
195,1265,False
196,1269,False
197,1276,False
198,1279,False
199,1285,False
200,1293,False
201,1298,False
202,943,True
203,946,True
204,1002,True
205,1156,True
206,1193,True
207,1261,True
208,1297,True
209,898,True
210,955,True
211,958,True
212,962,True
213,971,True
214,978,True
215,980,True
216,1003,True
217,1005,True
218,1019,True
219,1052,True
220,1092,True
221,1098,True
222,1108,True
223,1119,True
224,1165,True
225,1174,True
226,1183,True
227,1196,True
228,1205,True
229,1207,True
230,1300,True
231,1302,True
232,893,True
233,896,True
234,910,True
235,924,True
236,925,True
237,928,True
238,929,True
239,941,True
240,964,True
241,979,True
242,982,True
243,990,True
244,1009,True
245,1017,True
246,1024,True
247,1030,True
248,1032,True
249,1045,True
250,1049,True
251,1051,True
252,1057,True
253,1061,True
254,1080,True
255,1089,True
256,1091,True
257,1106,True
258,1155,True
259,1160,True
260,1172,True
261,1176,True
262,1201,True
263,1237,True
264,1246,True
265,1251,True
266,1257,True
267,1259,True
